epoch,train_loss,val_dice_RV,val_dice_MYO,val_dice_LV,val_dice_mean
1,0.9120454963296651,0.04109945871750824,0.08815019256435334,0.08983527675736695,0.07302830934640951
2,0.7556152079254389,0.10145969747100025,0.11523174559697509,0.11787298850249499,0.11152147719015677
3,0.6564566642045975,0.13283527893945574,0.14771797424182295,0.13960879428777845,0.14005401582301905
4,0.5759898632764816,0.17453318736515938,0.19192676497623323,0.2021667156368494,0.189542222659414
5,0.4979380177333951,0.17286280426196754,0.20835246201604604,0.25797950504347683,0.21306492377383016
6,0.4232249975204468,0.29128481820225716,0.3714339567348361,0.3584300667047501,0.3403829472139478
7,0.35524087175726893,0.345065494813025,0.3707311721518636,0.4707040533423424,0.3955002401024103
8,0.294376037362963,0.44173074113205074,0.531136417761445,0.5375793957151472,0.5034821848695477
9,0.2401675102300942,0.5273928624810651,0.5700479791499674,0.644566186144948,0.5806690092586602
10,0.19814266515895723,0.6009697798173874,0.6556414917111397,0.6998553484678268,0.6521555399987846
11,0.16736972918733956,0.6602899412624538,0.7018791921902447,0.7531103513203561,0.7050931615910183
12,0.1430992032866925,0.6885409890674055,0.718506978545338,0.7760634711012244,0.7277038129046559
13,0.12590773007832468,0.722504798695445,0.7416427377611399,0.8063805527985096,0.7568426964183648
14,0.11212468780577182,0.755779068544507,0.755722637847066,0.8254925169050693,0.778998074432214
15,0.10368460519239306,0.772307738661766,0.7585122875869275,0.8302083037793636,0.7870094433426857
16,0.0963877163361758,0.7850927747786045,0.7526597570627928,0.8347220495343208,0.7908248604585727
17,0.08948193627875298,0.7587543300585822,0.7424674587324261,0.830659358354751,0.7772937157152531
18,0.08391971464734524,0.8073330454528331,0.7920139990746975,0.8643827140331268,0.8212432528535525
19,0.08020780903752893,0.8206717163324356,0.7976013764739036,0.8686431661248207,0.8289720863103867
20,0.07411795647349209,0.8164364829659462,0.766503463126719,0.8655566222965717,0.8161655227964124
