model_name,dice_score,dice_std,iou_score,iou_std,accuracy,accuracy_std,sensitivity,sensitivity_std,specificity,specificity_std,num_samples,blockage_detection_accuracy,blockage_detection_precision,blockage_detection_recall,blockage_detection_f1,mean_blockage_rate,mean_severity
3D U-Net,3.994890362957193e-10,1.1500947158440715e-10,3.994890362957193e-10,1.1500947158440715e-10,0.9741971969604493,0.0069500812494207205,3.994890362957193e-10,1.1500947158440715e-10,1.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
V-Net,0.14977410137653352,0.03685947750912609,0.08137650340795517,0.021457644073525017,0.7083950042724609,0.016434559351046686,0.9994046330451966,0.0011907339096069336,0.7007204413414001,0.01624002778872024,5,0.0,0.0,0.0,0.0,0.0,0.0
ResAtt-3D-U-Net,0.9106114506721497,0.011789876769160067,0.8361055970191955,0.01971372796718206,0.9955156326293946,0.0009514158973639936,0.9052399039268494,0.05521046122523744,0.9978717565536499,0.0013125102162800963,5,0.0,0.0,0.0,0.0,0.0,0.0
