epoch,train_loss,val_dice_RV,val_dice_MYO,val_dice_LV,val_dice_mean
1,0.9604116052389144,0.052183861343655734,0.056434726575389504,0.07986898615490645,0.0628291913579839
2,0.87366146966815,0.07466305691050365,0.07229723874479532,0.09027053185272962,0.07907694250267619
3,0.8155895922333002,0.07370780013734475,0.0835001716390252,0.10274223075248301,0.08665006750961765
4,0.7645390205085277,0.08025458217598498,0.09337162086740136,0.12639709222130477,0.10000776508823037
5,0.7180056206882,0.0942960417829454,0.1098819556646049,0.13787277210503818,0.11401692318419616
6,0.6756518471986055,0.10998050251509994,0.12431217031553388,0.1547156700398773,0.1296694476235037
7,0.6367020767182112,0.12438634431455284,0.13577120704576373,0.18761960053816437,0.149259050632827
8,0.5992404494434596,0.13831109541933984,0.16323162894695997,0.2047991600818932,0.16878062814939768
9,0.564205614849925,0.15543218036182224,0.19140055477619172,0.2170372630469501,0.18795666606165468
10,0.5307813474908472,0.17843422791920602,0.20613145269453526,0.25024514347314836,0.21160360802896322
11,0.49988665375858543,0.19269908145070075,0.2334986912086606,0.2796629395335913,0.23528690406431757
12,0.4671064022928476,0.22722389702685178,0.25655854493379593,0.3161398568190634,0.2666407662599037
13,0.4373113591223955,0.24802019246853887,0.302000442892313,0.33997790347784757,0.2966661796128998
14,0.4062369875609875,0.28624786222353577,0.3241490337997675,0.385415518656373,0.33193747155989206
15,0.3778117774054408,0.3236885335296392,0.36155647300183774,0.4263431716710329,0.37052939273416996
16,0.349027538113296,0.34997794618830086,0.39853592999279497,0.4634145848453045,0.4039761536754668
17,0.32240008283406496,0.40288876462727785,0.42147796377539637,0.5159962855279445,0.44678767131020625
18,0.2949818908236921,0.43557522930204867,0.47412958443164827,0.5507445778697729,0.4868164638678233
19,0.2693132453598082,0.47643834035843613,0.5144532270729542,0.5860178023576736,0.5256364565963547
20,0.24535763850435616,0.513829586841166,0.5554390780627727,0.6218625854700803,0.5637104167913397
