model_name,total_parameters,trainable_parameters,total_parameters_millions,trainable_parameters_millions,model_size_mb,model_size_gb,mean_inference_time,std_inference_time,min_inference_time,max_inference_time,samples_per_second,inference_times,peak_cpu_memory_mb,peak_gpu_memory_mb,memory_overhead_mb
3D U-Net,22581217,22581217,22.581217,22.581217,86.16310501098633,0.08414365723729134,1.9526942729949952,0.26686810195689553,1.6602559089660645,2.295193910598755,0.5121129374063377,"[1.6655950546264648, 1.6622908115386963, 1.6602559089660645, 1.6689622402191162, 1.8277208805084229, 2.0692789554595947, 2.295193910598755, 2.292083978652954, 2.2275450229644775, 2.1580159664154053]",0,0,0
V-Net,7599103,7599103,7.599103,7.599103,28.988277435302734,0.028308864682912827,2.9052097320556642,0.024027846835807838,2.8664960861206055,2.9460971355438232,0.34420922832735434,"[2.9258711338043213, 2.926118850708008, 2.8664960861206055, 2.893359899520874, 2.9111828804016113, 2.879096746444702, 2.8793458938598633, 2.904770851135254, 2.919757843017578, 2.9460971355438232]",0,0,0
ResAtt-3D-U-Net,1429266,1429266,1.429266,1.429266,5.4613800048828125,0.005333378911018372,0.8225798606872559,0.0032141274969336576,0.8181712627410889,0.8273129463195801,1.2156874338796864,"[0.8181712627410889, 0.8229687213897705, 0.8210830688476562, 0.8257479667663574, 0.827246904373169, 0.8238048553466797, 0.8273129463195801, 0.8197739124298096, 0.8210527896881104, 0.8186361789703369]",0,0,0
