epoch,train_loss,val_dice,val_iou,val_accuracy
1,0.827999909222126,0.7572225913405418,0.6185108631849289,0.9781159162521362
2,0.788405042886734,0.7107573270797729,0.5611826226115226,0.972400164604187
3,0.759512598440051,0.7402524523437023,0.6020542748272419,0.9779645204544067
4,0.7241240829229355,0.7184761218726635,0.5718035243451596,0.9731011152267456
5,0.6849750723689795,0.8304992094635963,0.724670372158289,0.9874294757843017
6,0.6328303709626197,0.8414472118020058,0.7317403107881546,0.9880287170410156
7,0.5679792635142803,0.8785326957702637,0.7905447751283645,0.9912944316864014
8,0.4891829270869493,0.8794549912214279,0.7887198626995087,0.9910573720932007
9,0.4164326887577772,0.8554083955474198,0.7782554542180151,0.9907424449920654
10,0.34605417437851427,0.8690342053771019,0.7739846892654896,0.9901532888412475
11,0.2869257215410471,0.8942474290728569,0.8135501950979233,0.9923795223236084
12,0.24140149243175985,0.9062149837613106,0.8314348697662354,0.9931970119476319
13,0.20694518350064756,0.9098592430353165,0.8386734277009964,0.9937146186828614
14,0.17716416865587234,0.9066298633813858,0.8310543119907379,0.9933970212936402
15,0.156180027872324,0.9226172342896461,0.8583676367998123,0.9944654703140259
16,0.13632500544190407,0.9156641632318496,0.8475309774279595,0.9941765546798706
17,0.1247343871742487,0.9187692373991012,0.8527915820479393,0.9943528890609741
18,0.11236307062208653,0.9016717955470085,0.8330271653831005,0.9933174610137939
19,0.0996820718050003,0.9298203900456429,0.8711252450942993,0.9950409889221191
20,0.09058818966150284,0.9310626536607742,0.8725532546639443,0.9951114654541016
21,0.08344917856156826,0.9213898107409477,0.8585942342877388,0.9945112466812134
22,0.07835890576243401,0.9361147463321686,0.8814183190464974,0.995455551147461
23,0.07460045218467712,0.9364631459116936,0.8819395571947097,0.9954265117645263
24,0.07019197009503841,0.9371652320027352,0.8832997471094132,0.9955037355422973
25,0.06416384726762772,0.9358645722270011,0.8821762561798095,0.995484733581543
26,0.059951255470514296,0.9364612326025963,0.8828257173299789,0.9955178737640381
27,0.05676872581243515,0.9408248245716095,0.889592544734478,0.9957855701446533
28,0.05459507182240486,0.9345557495951653,0.8797970652580261,0.9953187704086304
29,0.05211537703871727,0.9426179647445678,0.8932358235120773,0.9959293603897095
30,0.050410787016153334,0.9240201830863952,0.8635938949882984,0.9946603536605835
31,0.049388646706938745,0.938568753004074,0.8858262449502945,0.995639157295227
32,0.04834612123668194,0.9327745959162712,0.8777995593845844,0.9953631401062012
33,0.04445858150720596,0.9378558158874511,0.8863719522953033,0.9956823110580444
34,0.04207821786403656,0.9427665621042252,0.8933548375964164,0.9959661722183227
35,0.04164165370166302,0.9401126012206078,0.8888079226016998,0.9957062005996704
36,0.0397480696439743,0.9392671316862107,0.8871800944209098,0.9956061840057373
37,0.03750108890235424,0.9418391183018684,0.8914476409554482,0.9959059000015259
38,0.03536725305020809,0.9374161884188652,0.8858594462275505,0.9956743478775024
39,0.03389929756522179,0.9394792348146439,0.8878686547279357,0.9956320524215698
40,0.035182298719882966,0.9350773766636848,0.8799903228878975,0.9953953504562378
