epoch,train_loss,val_dice,val_iou,val_accuracy
1,0.8507081281393767,0.19416434410959482,0.10921469787135721,0.6924059391021729
2,0.8340599000453949,0.22943949289619922,0.13186375852674245,0.7528048992156983
3,0.8230744775384664,0.598915795981884,0.44379574730992316,0.9537345886230468
4,0.8050517182797193,0.6351152271032333,0.47852465510368347,0.9608754873275757
5,0.7890252772718668,0.6359571516513824,0.4833011571317911,0.9603283882141114
6,0.7727994594722987,0.7317855641245842,0.5919684045016765,0.9757757425308228
7,0.7522071156650781,0.7684409886598587,0.6362799540162086,0.9802394151687622
8,0.7308204408735037,0.7913292422890663,0.6642705492675305,0.9828831911087036
9,0.7075038272887468,0.7500423580408097,0.6111915707588196,0.9781424760818481
10,0.6823812782764435,0.7850107595324516,0.6582099668681621,0.9823907613754272
11,0.6521953534334898,0.8136671975255012,0.6940471224486828,0.9851269960403443
12,0.6187671765685081,0.8122417286038399,0.6927124433219433,0.984987473487854
13,0.5837468568235635,0.8423877075314522,0.7333562970161438,0.9879168272018433
14,0.5483078308403492,0.8613565564155579,0.7630662828683853,0.9897414207458496
15,0.510359701514244,0.8630289450287819,0.7666439950466156,0.989778733253479
16,0.4736275378614664,0.8659683093428612,0.7681080922484398,0.989980959892273
17,0.43638090677559377,0.8836677744984627,0.7961600393056869,0.9915051937103272
18,0.3994964636862278,0.8799719765782357,0.7906756892800331,0.9912041425704956
19,0.3665869813412428,0.8704022243618965,0.7762519866228104,0.9904136180877685
20,0.33646980859339237,0.8956390857696533,0.8134353876113891,0.9925154924392701
