epoch,train_loss,val_dice,val_iou,val_accuracy
1,0.8129327200353146,0.7473800987005234,0.6105028718709946,0.9796056985855103
2,0.7191328786313533,0.8025235913693904,0.6792875766754151,0.9848962545394897
3,0.6648350566625595,0.7677267260849476,0.638638611882925,0.9796363592147828
4,0.6116138637065888,0.8515287302434444,0.752147090435028,0.9897270917892456
5,0.5516827169805765,0.8720756828784942,0.7793461710214615,0.9908456563949585
6,0.4888455461710691,0.6659964234975633,0.5531970783253201,0.9833997964859009
7,0.43176011741161346,0.8772382333874702,0.7860169008374214,0.9910549879074096
8,0.37206423133611677,0.8507871180772781,0.7502715349197387,0.9882086992263794
9,0.32035143822431567,0.8807345733046532,0.7943609908223153,0.9913108110427856
10,0.2738877508789301,0.9023670151829719,0.825706048309803,0.992988395690918
11,0.2345654137432575,0.9028246775269508,0.8279726602137089,0.9932692289352417
12,0.20514566339552404,0.8921766102313995,0.814864456653595,0.9924419403076172
13,0.1781456060707569,0.894336910545826,0.8128622308373451,0.9927955865859985
14,0.15614008866250514,0.8953538373112678,0.8236190017312766,0.993121862411499
15,0.13755458667874337,0.9057263806462288,0.8320671617984772,0.9936103105545044
16,0.12398037910461426,0.9060433488339186,0.8406477965414524,0.993924617767334
17,0.10955954752862454,0.9046408168971538,0.834830554947257,0.9938423156738281
18,0.09832384698092937,0.9073557689785957,0.8360873155295849,0.9936778545379639
19,0.08926954045891762,0.9143220126628876,0.849028342962265,0.9942656993865967
20,0.08260392360389232,0.9196593508124351,0.8557664394378662,0.9945148944854736
